Time,Heart Rate
00:00:01,58
00:00:16,58
00:00:31,58
00:00:46,58
00:00:51,58
00:00:56,57
00:01:11,57
00:01:26,57
00:01:41,58
00:01:46,57
00:02:01,57
00:02:16,57
00:02:31,57
00:02:41,57
00:02:56,56
00:03:01,56
00:03:16,56
00:03:31,56
00:03:46,56
00:03:56,56
00:04:05,56
00:04:20,56
00:04:35,56
00:04:50,56
00:05:05,56
00:05:20,56
00:05:35,56
00:05:50,56
00:06:05,56
00:06:20,56
00:06:35,56
00:06:50,56
00:07:05,56
00:07:20,56
00:07:35,56
00:07:50,56
00:08:05,56
00:08:10,57
00:08:15,57
00:08:20,58
00:08:25,58
00:08:40,58
00:08:55,58
00:09:10,58
00:09:20,58
00:09:35,58
00:09:40,57
00:09:48,57
00:10:03,57
00:10:18,57
00:10:33,57
00:10:43,57
00:10:58,57
00:11:13,57
00:11:28,57
00:11:43,57
00:11:58,57
00:12:13,57
00:12:28,57
00:12:43,57
00:12:58,57
00:13:13,57
00:13:28,57
00:13:43,57
00:13:58,57
00:14:13,57
00:14:28,57
00:14:43,57
00:14:58,57
00:15:13,57
00:15:28,57
00:15:43,57
00:15:58,57
00:16:13,57
00:16:16,57
00:16:31,57
00:16:46,57
00:17:01,57
00:17:16,57
00:17:31,57
00:17:46,57
00:18:01,57
00:18:16,57
00:18:31,57
00:18:46,57
00:19:01,57
00:19:16,57
00:19:31,57
00:19:46,57
00:20:01,57
00:20:16,57
00:20:31,57
00:20:46,57
00:21:01,57
00:21:16,57
00:21:31,57
00:21:46,57
00:22:01,57
00:22:16,57
00:22:31,57
00:22:46,57
00:22:49,57
00:23:04,57
00:23:09,58
00:23:19,59
00:23:24,60
00:23:39,60
00:23:54,60
00:24:09,60
00:24:24,60
00:24:39,60
00:24:49,60
00:24:59,61
00:25:04,62
00:25:19,62
00:25:34,62
00:25:44,75
00:25:49,74
00:25:54,72
00:25:59,70
00:26:04,67
00:26:09,65
00:26:14,63
00:26:19,61
00:26:24,60
00:26:29,59
00:26:39,58
00:26:46,58
00:26:51,57
00:26:56,59
00:27:06,60
00:27:11,59
00:27:16,58
00:27:26,57
00:27:31,56
00:27:46,56
00:28:01,57
00:28:06,56
00:28:21,56
00:28:31,58
00:28:41,57
00:28:56,57
00:29:11,57
00:29:16,56
00:29:31,56
00:29:46,56
00:29:51,58
00:29:56,59
00:30:01,58
00:30:06,57
00:30:16,56
00:30:31,56
00:30:46,56
00:31:01,56
00:31:03,56
00:31:08,55
00:31:23,56
00:31:33,57
00:31:43,56
00:31:58,56
00:32:03,57
00:32:08,56
00:32:23,56
00:32:38,56
00:32:48,57
00:32:53,57
00:33:08,56
00:33:23,56
00:33:33,55
00:33:38,55
00:33:43,55
00:33:48,55
00:33:53,56
00:34:08,56
00:34:13,56
00:34:28,56
00:34:33,56
00:34:38,56
00:34:53,56
00:34:58,56
00:35:13,56
00:35:15,56
00:35:20,56
00:35:25,56
00:35:30,56
00:35:45,56
00:36:00,56
00:36:15,56
00:36:30,56
00:36:45,56
00:36:50,56
00:36:55,56
00:37:10,56
00:37:15,56
00:37:20,56
00:37:25,56
00:37:30,56
00:37:45,56
00:37:50,56
00:38:05,56
00:38:20,56
00:38:35,56
00:38:50,56
00:39:05,56
00:39:20,56
00:39:35,56
00:39:50,56
00:40:05,56
00:40:08,56
00:40:23,56
00:40:38,56
00:40:48,56
00:40:53,56
00:41:08,56
00:41:23,56
00:41:33,57
00:41:48,57
00:42:03,57
00:42:18,57
00:42:33,57
00:42:38,57
00:42:53,57
00:43:08,57
00:43:23,57
00:43:38,57
00:43:53,57
00:44:08,57
00:44:23,57
00:44:28,57
00:44:43,57
00:44:58,57
00:45:13,57
00:45:23,57
00:45:28,58
00:45:43,59
00:45:45,59
00:46:00,59
00:46:05,59
00:46:20,59
00:46:35,59
00:46:50,59
00:46:55,58
00:47:00,58
00:47:05,58
00:47:10,58
00:47:15,58
00:47:30,59
00:47:45,59
00:48:00,59
00:48:15,59
00:48:30,59
00:48:35,60
00:48:40,58
00:48:45,58
00:49:00,58
00:49:15,58
00:49:30,58
00:49:45,58
00:50:00,58
00:50:15,58
00:50:25,57
00:50:40,57
00:50:43,57
00:50:58,57
00:51:13,57
00:51:28,57
00:51:43,57
00:51:58,57
00:52:13,57
00:52:28,57
00:52:43,57
00:52:58,57
00:53:13,57
00:53:28,57
00:53:43,57
00:53:48,57
00:54:03,57
00:54:13,58
00:54:18,57
00:54:33,57
00:54:48,57
00:55:03,57
00:55:13,57
00:55:28,57
00:55:43,57
00:55:58,57
00:56:13,57
00:56:28,57
00:56:43,57
00:56:46,57
00:57:01,57
00:57:16,57
00:57:31,57
00:57:46,58
00:57:51,58
00:58:06,58
00:58:21,58
00:58:36,58
00:58:46,58
00:59:01,58
00:59:16,58
00:59:21,58
00:59:26,57
00:59:31,56
00:59:46,56
01:00:01,56
01:00:16,56
01:00:31,56
01:00:46,56
01:01:01,56
01:01:16,56
01:01:31,56
01:01:46,56
01:02:01,56
01:02:16,56
01:02:31,56
01:02:33,56
01:02:43,71
01:02:48,69
01:02:53,68
01:02:58,63
01:03:03,63
01:03:08,62
01:03:13,59
01:03:18,58
01:03:33,58
01:03:48,58
01:03:53,58
01:03:58,61
01:04:03,61
01:04:08,60
01:04:18,59
01:04:23,58
01:04:28,57
01:04:33,57
01:04:48,57
01:05:03,57
01:05:13,57
01:05:28,57
01:05:33,57
01:05:48,58
01:05:50,58
01:05:55,58
01:06:05,57
01:06:10,57
01:06:15,57
01:06:20,57
01:06:25,57
01:06:30,57
01:06:35,57
01:06:40,57
01:06:50,57
01:07:05,57
01:07:20,56
01:07:30,57
01:07:45,57
01:07:50,57
01:07:55,57
01:08:05,57
01:08:15,57
01:08:20,57
01:08:25,57
01:08:30,56
01:08:45,56
01:08:50,57
01:09:00,56
01:09:05,57
01:09:10,57
01:09:17,56
01:09:32,56
01:09:47,56
01:09:52,56
01:09:57,57
01:10:02,57
01:10:07,57
01:10:12,56
01:10:22,56
01:10:32,57
01:10:42,56
01:10:52,57
01:10:57,57
01:11:07,56
01:11:22,56
01:11:37,56
01:11:52,56
01:12:07,55
01:12:12,55
01:12:27,55
01:12:32,56
01:12:47,56
01:12:52,57
01:12:57,58
01:13:07,56
01:13:12,55
01:13:17,56
01:13:24,56
01:13:29,55
01:13:34,54
01:13:44,54
01:13:49,54
01:13:54,53
01:13:59,54
01:14:04,54
01:14:14,55
01:14:19,54
01:14:24,54
01:14:29,54
01:14:34,54
01:14:39,54
01:14:54,54
01:15:09,53
01:15:14,54
01:15:29,54
01:15:44,55
01:15:54,55
01:16:09,55
01:16:19,55
01:16:29,55
01:16:34,54
01:16:39,54
01:16:44,55
01:16:59,55
01:17:02,55
01:17:17,55
01:17:32,55
01:17:37,55
01:17:47,55
01:17:52,55
01:18:07,55
01:18:12,55
01:18:27,55
01:18:32,55
01:18:42,54
01:18:47,55
01:19:02,55
01:19:12,55
01:19:17,55
01:19:32,55
01:19:47,55
01:20:02,55
01:20:17,55
01:20:27,55
01:20:37,55
01:20:52,55
01:20:57,55
01:21:07,55
01:21:12,55
01:21:27,55
01:21:37,54
01:21:44,54
01:21:49,55
01:22:04,55
01:22:19,55
01:22:24,55
01:22:34,55
01:22:44,55
01:22:49,54
01:22:54,55
01:23:09,55
01:23:24,55
01:23:34,55
01:23:44,55
01:23:59,55
01:24:04,55
01:24:09,55
01:24:14,55
01:24:29,55
01:24:34,55
01:24:39,55
01:24:54,54
01:25:09,54
01:25:14,54
01:25:19,55
01:25:24,54
01:25:39,54
01:25:54,55
01:25:56,55
01:26:06,54
01:26:16,54
01:26:26,55
01:26:41,55
01:26:46,54
01:26:51,54
01:26:56,54
01:27:06,55
01:27:16,55
01:27:21,54
01:27:36,54
01:27:51,55
01:27:56,54
01:28:06,54
01:28:16,55
01:28:21,56
01:28:26,57
01:28:31,59
01:28:36,61
01:28:41,62
01:28:56,62
01:29:11,62
01:29:26,62
01:29:41,62
01:29:56,62
01:30:11,62
01:30:13,62
01:30:18,62
01:30:33,62
01:30:38,61
01:30:53,60
01:30:58,59
01:31:03,59
01:31:18,59
01:31:33,59
01:31:43,58
01:31:48,58
01:31:53,57
01:32:03,58
01:32:18,58
01:32:23,57
01:32:33,57
01:32:38,56
01:32:48,56
01:32:53,56
01:33:03,56
01:33:18,56
01:33:23,56
01:33:28,56
01:33:33,56
01:33:38,56
01:33:48,57
01:33:53,56
01:34:00,57
01:34:15,57
01:34:20,58
01:34:35,58
01:34:50,58
01:35:05,58
01:35:20,58
01:35:35,58
01:35:50,58
01:36:05,58
01:36:20,58
01:36:35,58
01:36:50,58
01:37:05,58
01:37:20,58
01:37:35,58
01:37:50,58
01:38:05,58
01:38:20,58
01:38:35,58
01:38:50,58
01:39:05,58
01:39:20,58
01:39:35,58
01:39:40,57
01:39:55,55
01:40:10,54
01:40:13,54
01:40:28,54
01:40:43,54
01:40:48,54
01:40:53,54
01:40:58,55
01:41:03,55
01:41:18,55
01:41:33,55
01:41:48,55
01:42:03,55
01:42:13,55
01:42:28,55
01:42:43,55
01:42:58,55
01:43:13,55
01:43:28,55
01:43:43,55
01:43:58,55
01:44:13,55
01:44:28,55
01:44:43,55
01:44:58,55
01:45:13,55
01:45:28,55
01:45:43,55
01:45:58,55
01:46:01,55
01:46:16,55
01:46:31,55
01:46:46,55
01:47:01,55
01:47:16,55
01:47:31,55
01:47:46,55
01:48:01,55
01:48:16,55
01:48:31,55
01:48:46,55
01:49:01,55
01:49:16,55
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
